"id","titulo","adulto","orcamento","idioma_original","popularidade","data_de_estreia","resumo","receita","duracao","genero","ator_1","ator_2","ator_3","ator_4","ator_5","dirigido_por","escrito_por_1","escrito_por_2","historia_original"
86295,"Treasure of the Yankee Zephyr",False,0,"en",2.0,"1981-11-28","In a lake high in the mountains of New Zealand hunter Gibbie Gibson discovers a plane wreck from WW2. When he tells it around, a gang of crooks follows and threatens him and his daughter, because they know there are 50 million dollars in the wreck. Helicopter pilot Barney helps Gibbie against them, risking his life thereby.",0.0,108.0,"Action","Ken Wahl","Lesley Ann Warren","Donald Pleasence","George Peppard","Bruno Lawrence","David Hemmings","Everett De Roche","",""
289198,"Redeemer",False,0,"es",2.0,"2014-09-18","A former hit-man for a drug cartel becomes a vigilante to pay for his sins and find redemption",0.0,88.0,"Action","Marko Zaror","Loreto Aravena","Mauricio Diocares","José Luís Mósca","Noah Segan","Ernesto Díaz Espinoza","","",""
24382,"Big Deal on Madonna Street",False,0,"it",11.0,"1958-06-06","Peppe, formerly a boxer, organizes the break-in of a pawnshop. Tiberio, an unemployed photographer, Mario, a receiver, the Sicilian Michele and Capannelle, an ex-jockey, are the other members of the gang. Though they are advised by Dante, a retired burglar, the task is not so easy...",0.0,106.0,"Comedy","Vittorio Gassman","Renato Salvatori","Memmo Carotenuto","Rossana Rory","Carla Gravina","Mario Monicelli","Agenore Incrocci","Furio Scarpelli",""
479,"Shaft",False,46000000,"en",13.0,"2000-06-15","New York police detective John Shaft arrests Walter Wade Jr. for a racially motivated slaying. But the only eyewitness disappears, and Wade jumps bail for Switzerland. Two years later Wade returns to face trial, confident his money and influence will get him acquitted -- especially since he's paid a drug kingpin to kill the witness.",107196498.0,99.0,"Action","Samuel L. Jackson","Jeffrey Wright","Christian Bale","Busta Rhymes","Dan Hedaya","John Singleton","","",""
37712,"Pistol Opera",False,0,"ja",2.0,"2001-10-27","As one of Suzuki's last fims, it is related to his 1967 Branded to Kill, either as a remake or sequel. The plots of both films involve a third-ranked hit man deposing the top-ranked hit man to claim the top rank.",0.0,112.0,"Action","Makiko Esumi","Sayoko Yamaguchi","Hanae Kan","Masatoshi Nagase","Mikijiro Hira","Seijun Suzuki","Kazunori Ito","",""
40933,"El bolero de Raquel",False,0,"es",1.0,"1957-10-09","The film tells an episode of the life of a kindly hearted bootblack who becomes accidentally the tutor of an orphan but nevertheless spends all his time and effort for the sake of the boy.",0.0,101.0,"Comedy","Cantinflas","Paquito Fernández","Manola Saavedra","Flor Silvestre","Daniel Herrera","Miguel M. Delgado","Miguel M. Delgado","",""
9103,"The Quest",False,30000000,"en",14.0,"1996-04-19","Ghang-gheng, the ancient winner-take-all competition in which the deadliest fighters from around the world employ the most spectacular feats of martial arts skills ever displayed in order to win the prized Golden Dragon. But fighting prowess alone will not be enough for Chris to triumph over such daunting foes.",57400547.0,95.0,"Action","Jean-Claude Van Damme","Roger Moore","James Remar","Jack McGee","Louis Mandylor","Jean-Claude Van Damme","Jean-Claude Van Damme","Frank Dux",""
11185,"See No Evil, Hear No Evil",False,18000000,"en",31.0,"1989-05-12","A murder takes place in the shop of David Lyons, a deaf man who fails to hear the gunshot being fired. Outside, blind man Wally Karue hears the shot but cannot see the perpetrator. Both are arrested, but escape to form an unlikely partnership. Being chased by both the law AND the original killers, can the pair work together to outwit them all?",46908987.0,103.0,"Comedy","Richard Pryor","Gene Wilder","Joan Severance","Kevin Spacey","Alan North","Arthur Hiller","Earl Barret","Arne Sultan",""
357600,"Dara O'Briain Crowd Tickler",False,0,"en",1.0,"2015-11-23","The Irish standup on the benefits of hitting his 40s: not feeling the need to watch every Scorsese film and learning to love classical music through the Lurpak butter ad.",0.0,94.0,"Comedy","Dara Ó Briain","","","","","Paul Wheeler","","",""
16875,"Cheats",False,0,"en",4.0,"2002-10-31","While other kids buy into countless hours of studying just so they can get a mark in some teacher's report book, Handsome Davis sees it as nothing more than a system of control over your mind. That's why Handsome and his three best friends Sammy, Victor and the cribsheet genius Applebee have banded together and found ways to cheat on their tests all through their school years.",0.0,86.0,"Comedy","Trevor Fehrman","Elden Henson","Matthew Lawrence","Martin Starr","Griffin Dunne","Andrew Gurland","","",""
